t	v	w	x	y	th	xr	yr	thr
0.000	2.525	-0.338	-0.106	-6.256	-1.740	-0.499	5.025	-1.671
0.500	2.058	0.786	-0.078	-7.278	-1.347	-1.347	3.889	-1.940
1.000	1.896	0.935	0.337	-8.121	-0.879	-2.226	3.070	-1.647
1.500	1.860	0.816	1.058	-8.699	-0.472	-2.852	2.389	-1.279
2.000	1.869	0.641	1.943	-8.983	-0.151	-3.242	1.859	-0.972
2.500	1.887	0.488	2.884	-9.010	0.093	-3.468	1.488	-0.751
3.000	1.905	0.377	3.819	-8.833	0.282	-3.599	1.250	-0.607
3.500	1.919	0.305	4.717	-8.497	0.434	-3.676	1.107	-0.518
4.000	1.931	0.260	5.563	-8.035	0.565	-3.724	1.024	-0.466
4.500	1.940	0.234	6.351	-7.469	0.682	-3.755	0.977	-0.435
5.000	1.947	0.219	7.072	-6.815	0.791	-3.776	0.952	-0.418
5.500	1.952	0.210	7.720	-6.086	0.896	-3.790	0.939	-0.409
6.000	1.956	0.205	8.291	-5.293	0.999	-3.800	0.933	-0.404
6.500	1.959	0.203	8.778	-4.443	1.100	-3.806	0.930	-0.401
7.000	1.961	0.201	9.178	-3.548	1.201	-3.811	0.929	-0.400
7.500	1.963	0.201	9.486	-2.617	1.301	-3.815	0.929	-0.399
8.000	1.964	0.200	9.700	-1.659	1.401	-3.817	0.930	-0.399
8.500	1.965	0.200	9.817	-0.683	1.501	-3.819	0.930	-0.399
9.000	1.966	0.200	9.836	0.299	1.601	-3.820	0.931	-0.399
9.500	1.967	0.200	9.757	1.279	1.701	-3.821	0.931	-0.399
10.000	1.967	0.200	9.581	2.246	1.801	-3.822	0.932	-0.399
10.500	1.967	0.200	9.309	3.191	1.901	-3.823	0.932	-0.399
11.000	1.967	0.200	8.944	4.104	2.001	-3.823	0.932	-0.399
11.500	1.968	0.200	8.490	4.976	2.101	-3.823	0.932	-0.399
12.000	1.968	0.200	7.951	5.799	2.201	-3.823	0.933	-0.399
12.500	1.968	0.200	7.332	6.563	2.301	-3.824	0.933	-0.399
13.000	1.968	0.200	6.640	7.262	2.401	-3.824	0.933	-0.399
13.500	1.968	0.200	5.882	7.889	2.501	-3.824	0.933	-0.399
14.000	1.968	0.200	5.065	8.437	2.601	-3.824	0.933	-0.399
14.500	1.968	0.200	4.198	8.900	2.701	-3.824	0.933	-0.399
15.000	1.968	0.200	3.288	9.275	2.801	-3.824	0.933	-0.399
15.500	1.968	0.200	2.346	9.557	2.901	-3.824	0.933	-0.399
16.000	1.968	0.200	1.380	9.743	3.001	-3.824	0.933	-0.399
16.500	1.968	0.200	0.400	9.832	3.101	-3.824	0.933	-0.399
17.000	1.968	0.200	-0.583	9.823	-3.082	-3.824	0.933	-0.399
17.500	1.968	0.200	-1.561	9.716	-2.982	-3.824	0.933	-0.399
18.000	1.968	0.200	-2.523	9.512	-2.882	-3.824	0.933	-0.399
18.500	1.968	0.200	-3.460	9.212	-2.782	-3.824	0.933	-0.399
19.000	1.968	0.200	-4.362	8.821	-2.682	-3.824	0.933	-0.399
19.500	1.968	0.200	-5.221	8.341	-2.582	-3.824	0.933	-0.399
20.000	1.968	0.200	-6.028	7.778	-2.482	-3.824	0.933	-0.399
20.500	1.968	0.200	-6.774	7.138	-2.382	-3.824	0.933	-0.399
21.000	1.968	0.200	-7.453	6.426	-2.282	-3.824	0.933	-0.399
21.500	1.968	0.200	-8.057	5.649	-2.182	-3.824	0.933	-0.399
22.000	1.968	0.200	-8.581	4.817	-2.082	-3.824	0.933	-0.399
22.500	1.968	0.200	-9.019	3.936	-1.982	-3.824	0.933	-0.399
23.000	1.968	0.200	-9.367	3.016	-1.882	-3.824	0.933	-0.399
23.500	1.968	0.200	-9.621	2.066	-1.782	-3.824	0.933	-0.399
24.000	1.968	0.200	-9.779	1.095	-1.682	-3.824	0.933	-0.399
24.500	1.968	0.200	-9.840	0.113	-1.582	-3.824	0.933	-0.399
25.000	1.968	0.200	-9.802	-0.870	-1.482	-3.824	0.933	-0.399
25.500	1.968	0.200	-9.666	-1.844	-1.382	-3.824	0.933	-0.399
26.000	1.968	0.200	-9.434	-2.800	-1.282	-3.824	0.933	-0.399
26.500	1.968	0.200	-9.107	-3.728	-1.182	-3.824	0.933	-0.399
27.000	1.968	0.200	-8.690	-4.618	-1.082	-3.824	0.933	-0.399
27.500	1.968	0.200	-8.185	-5.463	-0.982	-3.824	0.933	-0.399
28.000	1.968	0.200	-7.599	-6.252	-0.882	-3.824	0.933	-0.399
