t	v	w	Δd
0.000000	-0.000000	-0.500000	0.000000
0.050000	-0.000000	-0.500000	0.000000
0.100000	-0.000000	-0.500000	0.000000
0.150000	-0.000000	-0.500000	0.000000
0.200000	-0.000000	-0.500000	0.000000
0.250000	-0.000000	-0.500000	0.000000
0.300000	-0.000000	-0.500000	0.000000
0.350000	-0.000000	-0.500000	0.000000
0.400000	-0.000000	-0.500000	0.000000
0.450000	-0.000000	-0.500000	0.000000
0.500000	-0.000000	-0.500000	0.000000
0.550000	-0.000000	-0.500000	0.000000
0.600000	1.500000	-0.025838	0.000000
0.650000	1.500000	-0.080883	0.010900
0.700000	1.500000	-0.077291	0.010081
0.750000	1.500000	-0.076563	0.009837
0.800000	1.500000	-0.075701	0.009569
0.850000	1.500000	-0.074848	0.009305
0.900000	1.500000	-0.073998	0.009045
0.950000	1.500000	-0.073152	0.008787
1.000000	1.500000	-0.072308	0.008533
1.050000	1.500000	-0.071467	0.008282
1.100000	1.500000	-0.070630	0.008035
1.150000	1.500000	-0.069795	0.007790
1.200000	1.500000	-0.068963	0.007548
1.250000	1.500000	-0.068134	0.007309
1.300000	1.500000	-0.067308	0.007073
1.350000	1.500000	-0.066484	0.006840
1.400000	1.500000	-0.065664	0.006610
1.450000	1.500000	-0.064846	0.006382
1.500000	1.500000	-0.064030	0.006158
1.550000	1.500000	-0.063218	0.005936
1.600000	1.500000	-0.062408	0.005717
1.650000	1.500000	-0.061601	0.005500
1.700000	1.500000	-0.060797	0.005287
1.750000	1.500000	-0.059996	0.005076
1.800000	1.500000	-0.059197	0.004867
1.850000	1.500000	-0.058402	0.004661
1.900000	1.500000	-0.057609	0.004458
1.950000	1.500000	-0.056819	0.004258
2.000000	1.500000	-0.056032	0.004060
2.050000	1.500000	-0.055249	0.003864
2.100000	1.500000	-0.054468	0.003672
2.150000	1.500000	-0.053690	0.003481
2.200000	1.500000	-0.052916	0.003293
2.250000	1.500000	-0.052144	0.003108
2.300000	1.500000	-0.051376	0.002925
2.350000	1.500000	-0.050612	0.002745
2.400000	1.500000	-0.049850	0.002567
2.450000	1.500000	-0.049092	0.002391
2.500000	1.500000	-0.048338	0.002218
2.550000	1.500000	-0.047587	0.002048
2.600000	1.500000	-0.046840	0.001879
2.650000	1.500000	-0.046096	0.001714
2.700000	1.500000	-0.045356	0.001550
2.750000	1.500000	-0.044620	0.001389
2.800000	1.500000	-0.043888	0.001230
2.850000	1.500000	-0.043159	0.001074
2.900000	1.500000	-0.042435	0.000920
2.950000	1.500000	-0.041715	0.000768
3.000000	1.500000	-0.040999	0.000619
3.050000	1.500000	-0.040287	0.000471
3.100000	1.500000	-0.039579	0.000327
3.150000	1.500000	-0.038876	0.000184
3.200000	1.500000	-0.038177	0.000044
3.250000	1.500000	-0.037482	-0.000094
3.300000	1.500000	-0.036792	-0.000230
3.350000	1.500000	-0.036107	-0.000363
3.400000	1.500000	-0.035426	-0.000494
3.450000	1.500000	-0.034750	-0.000623
3.500000	1.500000	-0.034078	-0.000750
3.550000	1.500000	-0.033412	-0.000875
3.600000	1.500000	-0.032750	-0.000997
3.650000	1.500000	-0.032094	-0.001117
3.700000	1.500000	-0.031442	-0.001235
3.750000	1.500000	-0.030796	-0.001351
3.800000	1.500000	-0.030154	-0.001465
3.850000	1.500000	-0.029518	-0.001576
3.900000	1.500000	-0.028887	-0.001686
3.950000	1.500000	-0.028261	-0.001793
4.000000	1.500000	-0.027640	-0.001898
4.050000	1.500000	-0.027025	-0.002001
4.100000	1.500000	-0.026416	-0.002102
4.150000	1.500000	-0.025811	-0.002201
4.200000	1.500000	-0.025213	-0.002297
4.250000	1.500000	-0.024620	-0.002392
4.300000	1.500000	-0.024032	-0.002485
4.350000	1.500000	-0.023450	-0.002575
4.400000	1.500000	-0.022874	-0.002664
4.450000	1.500000	-0.022303	-0.002751
4.500000	1.500000	-0.021738	-0.002835
4.550000	1.500000	-0.021179	-0.002918
4.600000	1.500000	-0.020626	-0.002999
4.650000	1.500000	-0.020078	-0.003077
4.700000	1.500000	-0.019536	-0.003154
4.750000	1.500000	-0.019000	-0.003229
4.800000	1.500000	-0.018470	-0.003302
4.850000	1.500000	-0.017946	-0.003373
4.900000	1.500000	-0.017428	-0.003442
4.950000	1.500000	-0.016916	-0.003510
5.000000	1.500000	-0.016409	-0.003575
5.050000	1.500000	-0.015909	-0.003639
5.100000	1.500000	-0.015414	-0.003701
5.150000	1.500000	-0.014926	-0.003761
5.200000	1.500000	-0.014443	-0.003819
5.250000	1.500000	-0.013967	-0.003876
5.300000	1.500000	-0.013496	-0.003931
5.350000	1.500000	-0.013031	-0.003984
5.400000	1.500000	-0.012573	-0.004035
5.450000	1.500000	-0.012120	-0.004085
5.500000	1.500000	-0.011673	-0.004133
5.550000	1.500000	-0.011232	-0.004179
5.600000	1.500000	-0.010797	-0.004224
5.650000	1.500000	-0.010368	-0.004267
5.700000	1.500000	-0.009945	-0.004309
5.750000	1.500000	-0.009528	-0.004349
5.800000	1.500000	-0.009117	-0.004387
5.850000	1.500000	-0.008712	-0.004424
5.900000	1.500000	-0.008312	-0.004459
5.950000	1.500000	-0.007919	-0.004493
6.000000	1.500000	-0.007531	-0.004525
6.050000	1.500000	-0.007149	-0.004556
6.100000	1.500000	-0.006773	-0.004585
