t	x	y	th	v*100	w	dTh	dSi
0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.07	0.00	0.00	0.03	0.00	0.54	0.03	0.00
0.12	0.00	0.00	0.08	0.47	1.01	0.05	0.00
0.17	0.00	0.00	0.14	0.47	1.28	0.06	0.00
0.22	0.00	0.00	0.22	0.00	1.48	0.07	0.00
0.27	0.00	-0.00	0.29	-0.47	1.55	0.08	-0.00
0.32	0.00	0.00	0.37	0.47	1.55	0.08	0.00
0.37	0.00	-0.00	0.44	-0.94	1.48	0.07	-0.00
0.42	0.00	-0.00	0.52	0.47	1.55	0.08	0.00
0.47	0.00	-0.00	0.60	-0.47	1.55	0.08	-0.00
0.52	0.00	-0.00	0.67	0.00	1.48	0.07	0.00
0.57	0.00	-0.00	0.75	0.00	1.61	0.08	0.00
0.62	0.00	0.00	0.83	0.47	1.54	0.08	0.00
0.67	0.00	0.00	0.91	0.47	1.54	0.08	0.00
0.72	0.00	-0.00	0.98	-0.94	1.48	0.07	-0.00
0.77	0.00	-0.00	1.06	0.00	1.61	0.08	0.00
0.82	0.00	-0.00	1.14	0.00	1.61	0.08	0.00
0.87	0.00	0.00	1.22	0.47	1.54	0.08	0.00
0.92	0.00	0.00	1.30	0.00	1.61	0.08	0.00
0.97	0.00	0.00	1.38	0.47	1.54	0.08	0.00
1.02	0.00	0.00	1.46	-0.47	1.54	0.08	-0.00
1.07	0.00	-0.00	1.53	-0.47	1.54	0.08	-0.00
1.12	0.00	0.00	1.61	0.47	1.54	0.08	0.00
1.17	0.00	0.00	1.67	1.41	1.14	0.06	0.00
1.22	-0.00	0.00	1.68	7.05	0.20	0.01	0.00
1.27	-0.00	0.01	1.67	7.52	-0.13	-0.01	0.00
1.32	-0.00	0.01	1.66	7.99	-0.34	-0.02	0.00
1.37	-0.00	0.02	1.64	9.87	-0.34	-0.02	0.00
1.42	-0.00	0.02	1.61	9.40	-0.54	-0.03	0.00
1.47	-0.00	0.03	1.59	9.40	-0.40	-0.02	0.00
1.52	-0.00	0.03	1.57	9.87	-0.47	-0.02	0.00
1.57	-0.00	0.04	1.54	10.34	-0.54	-0.03	0.01
1.62	-0.00	0.04	1.51	10.34	-0.54	-0.03	0.01
1.67	-0.00	0.05	1.49	9.87	-0.47	-0.02	0.00
1.72	-0.00	0.05	1.47	9.87	-0.47	-0.02	0.00
1.77	-0.00	0.06	1.44	9.40	-0.54	-0.03	0.00
1.82	0.00	0.06	1.42	9.86	-0.47	-0.02	0.00
1.87	0.00	0.07	1.40	9.40	-0.40	-0.02	0.00
1.92	0.00	0.07	1.37	9.86	-0.47	-0.02	0.00
1.97	0.00	0.08	1.34	9.87	-0.60	-0.03	0.00
2.02	0.00	0.08	1.32	9.86	-0.47	-0.02	0.00
2.07	0.01	0.09	1.29	9.87	-0.60	-0.03	0.00
2.12	0.01	0.09	1.27	8.92	-0.47	-0.02	0.00
2.17	0.01	0.09	1.24	9.87	-0.47	-0.02	0.00
2.22	0.01	0.10	1.22	9.86	-0.47	-0.02	0.00
2.28	0.01	0.10	1.19	9.74	-0.51	-0.03	0.01
2.33	0.01	0.11	1.17	9.85	-0.47	-0.02	0.00
2.38	0.02	0.11	1.14	9.39	-0.54	-0.03	0.00
2.43	0.02	0.12	1.11	9.40	-0.54	-0.03	0.00
2.48	0.02	0.12	1.09	10.33	-0.54	-0.03	0.01
2.53	0.02	0.13	1.06	9.87	-0.47	-0.02	0.00
2.58	0.02	0.13	1.04	9.39	-0.54	-0.03	0.00
2.63	0.03	0.13	1.02	10.33	-0.40	-0.02	0.01
2.68	0.03	0.14	0.99	9.40	-0.54	-0.03	0.00
2.73	0.03	0.14	0.97	9.86	-0.47	-0.02	0.00
2.78	0.04	0.15	0.94	9.87	-0.47	-0.02	0.00
2.83	0.04	0.15	0.92	9.87	-0.47	-0.02	0.00
2.88	0.04	0.15	0.89	10.33	-0.54	-0.03	0.01
2.93	0.04	0.16	0.87	8.93	-0.47	-0.02	0.00
2.98	0.05	0.16	0.84	9.87	-0.47	-0.02	0.00
3.03	0.05	0.16	0.82	9.40	-0.40	-0.02	0.00
3.08	0.05	0.17	0.79	9.87	-0.60	-0.03	0.00
3.13	0.06	0.17	0.77	9.86	-0.47	-0.02	0.00
3.18	0.06	0.18	0.75	9.87	-0.47	-0.02	0.00
3.23	0.07	0.18	0.72	9.87	-0.47	-0.02	0.00
3.28	0.07	0.18	0.70	10.34	-0.54	-0.03	0.01
3.33	0.07	0.19	0.67	9.87	-0.47	-0.02	0.00
3.38	0.08	0.19	0.65	9.87	-0.47	-0.02	0.00
3.43	0.08	0.19	0.62	9.40	-0.54	-0.03	0.00
3.48	0.08	0.19	0.60	9.40	-0.40	-0.02	0.00
3.53	0.09	0.20	0.58	9.87	-0.47	-0.02	0.00
3.58	0.09	0.20	0.55	9.40	-0.54	-0.03	0.00
3.63	0.10	0.20	0.53	10.34	-0.40	-0.02	0.01
3.68	0.10	0.20	0.50	9.87	-0.60	-0.03	0.00
3.73	0.11	0.21	0.48	9.87	-0.47	-0.02	0.00
3.78	0.11	0.21	0.45	10.34	-0.54	-0.03	0.01
3.83	0.11	0.21	0.42	9.40	-0.54	-0.03	0.00
3.88	0.12	0.21	0.40	10.34	-0.40	-0.02	0.01
3.93	0.12	0.21	0.38	9.39	-0.54	-0.03	0.00
3.98	0.13	0.22	0.35	9.87	-0.47	-0.02	0.00
4.03	0.13	0.22	0.33	9.40	-0.40	-0.02	0.00
4.08	0.14	0.22	0.30	9.87	-0.60	-0.03	0.00
4.13	0.14	0.22	0.28	10.34	-0.40	-0.02	0.01
4.18	0.15	0.22	0.25	9.85	-0.60	-0.03	0.00
4.23	0.15	0.22	0.23	10.33	-0.40	-0.02	0.01
4.28	0.16	0.22	0.21	8.93	-0.47	-0.02	0.00
4.33	0.16	0.23	0.18	9.41	-0.54	-0.03	0.00
4.38	0.17	0.23	0.16	10.34	-0.40	-0.02	0.01
4.43	0.17	0.23	0.13	9.87	-0.60	-0.03	0.00
4.48	0.18	0.23	0.10	9.41	-0.54	-0.03	0.00
4.53	0.18	0.23	0.08	9.88	-0.47	-0.02	0.00
4.58	0.19	0.23	0.06	10.34	-0.40	-0.02	0.01
4.63	0.19	0.23	0.06	9.87	-0.07	-0.00	0.00
4.68	0.20	0.23	0.06	9.39	0.00	0.00	0.00
4.73	0.20	0.23	0.05	8.92	-0.07	-0.00	0.00
4.78	0.20	0.23	0.05	9.40	0.00	0.00	0.00
4.83	0.21	0.23	0.05	9.37	0.00	0.00	0.00
4.88	0.21	0.23	0.06	9.87	0.07	0.00	0.00
4.93	0.22	0.23	0.06	9.38	0.00	0.00	0.00
4.98	0.22	0.23	0.05	9.87	-0.07	-0.00	0.00
5.03	0.23	0.23	0.05	10.34	0.00	0.00	0.01
5.08	0.23	0.23	0.05	9.86	-0.07	-0.00	0.00
5.13	0.24	0.23	0.05	9.86	-0.07	-0.00	0.00
5.18	0.24	0.23	0.05	10.34	0.00	0.00	0.01
5.23	0.25	0.23	0.05	10.34	0.00	0.00	0.01
5.28	0.25	0.23	0.05	9.39	0.00	0.00	0.00
5.33	0.26	0.23	0.05	9.40	0.00	0.00	0.00
5.38	0.26	0.23	0.05	9.39	0.00	0.00	0.00
5.43	0.27	0.23	0.05	9.87	0.07	0.00	0.00
5.49	0.27	0.23	0.05	9.87	0.07	0.00	0.00
5.54	0.28	0.23	0.06	9.87	0.07	0.00	0.00
5.59	0.28	0.23	0.06	10.34	0.00	0.00	0.01
5.64	0.29	0.23	0.05	9.87	-0.07	-0.00	0.00
5.69	0.29	0.23	0.06	9.86	0.07	0.00	0.00
5.74	0.30	0.23	0.06	10.33	0.00	0.00	0.01
5.79	0.30	0.23	0.06	9.40	0.00	0.00	0.00
5.84	0.31	0.24	0.05	9.87	-0.07	-0.00	0.00
5.89	0.31	0.24	0.06	9.86	0.07	0.00	0.00
5.94	0.32	0.24	0.06	9.86	0.07	0.00	0.00
5.99	0.32	0.24	0.06	9.39	0.00	0.00	0.00
6.04	0.33	0.24	0.06	9.86	-0.07	-0.00	0.00
6.09	0.33	0.24	0.06	10.80	0.07	0.00	0.01
6.14	0.34	0.24	0.06	9.39	0.00	0.00	0.00
6.19	0.34	0.24	0.06	10.33	0.00	0.00	0.01
6.24	0.35	0.24	0.06	9.86	-0.07	-0.00	0.00
6.29	0.35	0.24	0.06	9.40	0.00	0.00	0.00
6.34	0.36	0.24	0.06	9.87	0.07	0.00	0.00
6.39	0.36	0.24	0.06	8.93	-0.07	-0.00	0.00
6.44	0.37	0.24	0.06	9.86	0.07	0.00	0.00
6.49	0.37	0.24	0.06	9.87	-0.07	-0.00	0.00
6.54	0.38	0.24	0.06	8.93	0.07	0.00	0.00
6.59	0.38	0.24	0.06	9.40	0.00	0.00	0.00
6.64	0.39	0.24	0.06	9.86	-0.07	-0.00	0.00
6.69	0.39	0.24	0.05	9.86	-0.07	-0.00	0.00
6.74	0.40	0.24	0.05	10.34	0.00	0.00	0.01
6.79	0.40	0.24	0.05	9.40	0.00	0.00	0.00
6.84	0.41	0.24	0.05	10.34	0.00	0.00	0.01
6.89	0.41	0.24	0.05	9.86	-0.07	-0.00	0.00
6.94	0.42	0.24	0.05	10.33	0.00	0.00	0.01
6.99	0.42	0.24	0.05	10.33	0.00	0.00	0.01
7.04	0.43	0.24	0.05	9.39	0.00	0.00	0.00
7.09	0.43	0.24	0.05	9.87	-0.07	-0.00	0.00
7.14	0.44	0.24	0.05	9.87	0.07	0.00	0.00
7.19	0.44	0.24	0.05	9.39	0.00	0.00	0.00
7.24	0.45	0.24	0.05	9.86	0.07	0.00	0.00
7.29	0.45	0.24	0.05	9.39	0.00	0.00	0.00
7.34	0.46	0.24	0.05	10.33	0.00	0.00	0.01
7.39	0.46	0.24	0.05	10.33	0.00	0.00	0.01
7.44	0.47	0.24	0.05	9.39	0.00	0.00	0.00
7.49	0.47	0.24	0.05	10.34	0.00	0.00	0.01
7.54	0.48	0.24	0.06	9.86	0.07	0.00	0.00
7.59	0.48	0.24	0.06	9.40	0.00	0.00	0.00
7.64	0.49	0.24	0.06	9.40	0.00	0.00	0.00
7.69	0.49	0.25	0.06	9.86	0.07	0.00	0.00
7.74	0.50	0.25	0.06	10.34	0.00	0.00	0.01
7.79	0.50	0.25	0.06	9.87	-0.07	-0.00	0.00
7.84	0.51	0.25	0.06	10.32	0.00	0.00	0.01
7.89	0.51	0.25	0.06	9.86	0.07	0.00	0.00
7.94	0.52	0.25	0.06	9.86	-0.07	-0.00	0.00
7.99	0.52	0.25	0.05	9.85	-0.07	-0.00	0.00
8.04	0.52	0.25	0.05	9.39	0.00	0.00	0.00
8.09	0.53	0.25	0.06	9.87	0.07	0.00	0.00
8.14	0.53	0.25	0.06	9.39	0.00	0.00	0.00
8.19	0.54	0.25	0.05	9.86	-0.07	-0.00	0.00
8.24	0.54	0.25	0.06	9.87	0.07	0.00	0.00
8.29	0.55	0.25	0.06	9.40	0.00	0.00	0.00
8.34	0.55	0.25	0.06	9.40	0.00	0.00	0.00
8.39	0.56	0.25	0.06	9.40	0.00	0.00	0.00
8.44	0.56	0.25	0.05	9.87	-0.07	-0.00	0.00
8.49	0.57	0.25	0.05	9.40	0.00	0.00	0.00
8.54	0.57	0.25	0.05	9.87	-0.07	-0.00	0.00
8.59	0.58	0.25	0.05	10.81	0.07	0.00	0.01
8.65	0.58	0.25	0.05	9.87	-0.07	-0.00	0.00
8.70	0.59	0.25	0.05	10.34	0.00	0.00	0.01
8.75	0.59	0.25	0.05	9.83	-0.07	-0.00	0.00
8.80	0.60	0.25	0.05	10.34	0.00	0.00	0.01
8.85	0.60	0.25	0.05	8.93	0.07	0.00	0.00
8.90	0.61	0.25	0.05	9.39	0.00	0.00	0.00
8.95	0.61	0.25	0.05	9.40	0.00	0.00	0.00
9.00	0.62	0.25	0.05	9.39	0.00	0.00	0.00
9.05	0.62	0.25	0.05	10.80	0.07	0.00	0.01
9.10	0.63	0.25	0.06	9.87	0.07	0.00	0.00
9.15	0.63	0.25	0.05	9.86	-0.07	-0.00	0.00
9.20	0.64	0.25	0.05	10.34	0.00	0.00	0.01
9.25	0.64	0.25	0.05	9.36	0.00	0.00	0.00
9.30	0.65	0.25	0.06	9.84	0.07	0.00	0.00
9.35	0.65	0.25	0.06	9.87	0.07	0.00	0.00
9.40	0.66	0.25	0.06	9.39	0.00	0.00	0.00
9.45	0.66	0.25	0.06	9.87	-0.07	-0.00	0.00
9.50	0.67	0.26	0.06	10.32	0.13	0.01	0.01
9.55	0.67	0.26	0.06	9.87	-0.07	-0.00	0.00
9.60	0.68	0.26	0.06	10.34	0.00	0.00	0.01
9.65	0.68	0.26	0.06	9.87	-0.07	-0.00	0.00
9.70	0.69	0.26	0.06	10.32	0.00	0.00	0.01
9.75	0.69	0.26	0.06	9.40	0.00	0.00	0.00
9.80	0.70	0.26	0.06	9.40	0.00	0.00	0.00
9.85	0.70	0.26	0.06	9.39	0.00	0.00	0.00
