t	x	y	th	v*100	w	dTh	dSi
0.02	0.00	0.00	0.00	1.39	0.20	0.00	0.00
0.07	0.00	-0.00	0.03	-0.47	0.47	0.02	-0.00
0.12	0.00	-0.00	0.08	0.00	1.07	0.05	0.00
0.17	0.00	0.00	0.14	0.47	1.14	0.06	0.00
0.22	0.00	-0.00	0.22	-0.47	1.54	0.08	-0.00
0.27	0.00	-0.00	0.29	0.00	1.48	0.07	0.00
0.32	0.00	-0.00	0.37	0.00	1.61	0.08	0.00
0.37	0.00	-0.00	0.45	0.00	1.61	0.08	0.00
0.42	0.00	0.00	0.53	0.47	1.54	0.08	0.00
0.47	0.00	0.00	0.60	0.00	1.48	0.07	0.00
0.52	0.00	0.00	0.68	0.00	1.61	0.08	0.00
0.57	0.00	0.00	0.76	0.47	1.54	0.08	0.00
0.62	0.00	0.00	0.84	0.00	1.61	0.08	0.00
0.67	0.00	0.00	0.92	0.00	1.48	0.07	0.00
0.72	0.00	0.00	1.00	0.00	1.61	0.08	0.00
0.77	0.00	0.00	1.07	0.47	1.54	0.08	0.00
0.82	0.00	0.00	1.15	0.00	1.61	0.08	0.00
0.87	0.00	0.00	1.23	0.00	1.48	0.07	0.00
0.92	0.00	0.00	1.31	0.00	1.61	0.08	0.00
0.97	0.00	0.00	1.38	0.00	1.48	0.07	0.00
1.02	0.00	0.00	1.46	0.00	1.61	0.08	0.00
1.07	0.00	0.00	1.54	-0.47	1.54	0.08	-0.00
1.12	0.00	0.00	1.62	0.00	1.48	0.07	0.00
t	x	y	th	v*100	w	dTh	dSi
