t	x	y	th	v	w	dTh	dSi
5.049	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.099	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.149	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.200	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.250	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.300	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.350	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.400	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.450	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.501	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.551	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.601	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.651	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.701	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.751	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.802	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.852	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.902	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.952	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.002	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.053	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.103	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.153	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.203	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.253	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.303	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.354	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.404	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.454	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.504	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.554	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.604	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.654	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.705	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.755	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.805	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.855	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.905	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
6.955	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
7.006	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
7.056	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
7.106	0.600	2.600	-1.581	0.005	-0.201	-0.010	0.000
7.156	0.600	2.600	-1.611	-0.005	-0.604	-0.030	-0.000
7.206	0.600	2.600	-1.641	-0.005	-0.604	-0.030	-0.000
7.256	0.600	2.601	-1.675	-0.009	-0.671	-0.034	-0.000
7.307	0.600	2.601	-1.712	-0.005	-0.738	-0.037	-0.000
7.357	0.600	2.601	-1.753	0.000	-0.805	-0.040	0.000
7.407	0.600	2.601	-1.786	0.000	-0.671	-0.034	0.000
7.457	0.600	2.601	-1.827	0.000	-0.805	-0.040	0.000
7.507	0.600	2.601	-1.860	0.000	-0.671	-0.034	0.000
7.557	0.600	2.601	-1.901	0.000	-0.805	-0.040	0.000
7.608	0.600	2.601	-1.941	0.000	-0.805	-0.040	0.000
7.658	0.600	2.601	-1.978	-0.005	-0.736	-0.037	-0.000
7.708	0.600	2.601	-2.018	0.000	-0.805	-0.040	0.000
7.758	0.600	2.601	-2.059	0.009	-0.805	-0.040	0.000
7.808	0.600	2.601	-2.099	0.000	-0.805	-0.040	0.000
