t	x	y	th	v	w	dTh	dSi 
5.057	0.600	2.600	-1.571	0.000	0.000	0.000	0.000
5.107	0.600	2.600	-1.581	0.005	-0.200	-0.010	0.000
5.157	0.600	2.600	-1.611	-0.005	-0.603	-0.030	-0.000
5.208	0.600	2.600	-1.641	-0.005	-0.604	-0.030	-0.000
5.258	0.600	2.601	-1.675	-0.009	-0.671	-0.034	-0.000
5.308	0.600	2.601	-1.712	-0.005	-0.739	-0.037	-0.000
5.358	0.600	2.601	-1.749	0.005	-0.739	-0.037	0.000
5.408	0.600	2.601	-1.786	-0.005	-0.739	-0.037	-0.000
5.458	0.600	2.601	-1.827	0.000	-0.806	-0.040	0.000
5.508	0.600	2.601	-1.864	-0.005	-0.739	-0.037	-0.000
5.558	0.600	2.601	-1.904	0.000	-0.806	-0.040	0.000
5.609	0.600	2.601	-1.941	0.005	-0.739	-0.037	0.000
5.659	0.600	2.601	-1.981	0.000	-0.806	-0.040	0.000
5.709	0.600	2.601	-2.015	0.000	-0.672	-0.034	0.000
5.759	0.600	2.601	-2.055	0.000	-0.806	-0.040	0.000
5.809	0.600	2.601	-2.093	-0.005	-0.739	-0.037	-0.000
5.859	0.600	2.601	-2.133	0.000	-0.806	-0.040	0.000
5.909	0.600	2.601	-2.173	0.000	-0.806	-0.040	0.000
5.959	0.600	2.601	-2.214	0.000	-0.805	-0.040	0.000
6.010	0.600	2.601	-2.251	0.005	-0.738	-0.037	0.000
6.060	0.600	2.601	-2.291	-0.009	-0.805	-0.040	-0.000
6.110	0.600	2.601	-2.332	0.009	-0.805	-0.040	0.000
6.160	0.600	2.601	-2.372	0.000	-0.805	-0.040	0.000
6.210	0.600	2.601	-2.412	0.000	-0.805	-0.040	0.000
6.261	0.600	2.601	-2.446	0.000	-0.671	-0.034	0.000
6.311	0.600	2.601	-2.486	0.000	-0.805	-0.040	0.000
6.361	0.600	2.601	-2.527	0.000	-0.805	-0.040	0.000
6.411	0.600	2.601	-2.567	0.000	-0.805	-0.040	0.000
6.461	0.600	2.601	-2.604	0.005	-0.738	-0.037	0.000
6.511	0.600	2.601	-2.641	-0.005	-0.738	-0.037	-0.000
6.562	0.600	2.601	-2.682	0.000	-0.805	-0.040	0.000
6.612	0.600	2.601	-2.719	0.005	-0.738	-0.037	0.000
6.662	0.600	2.601	-2.756	-0.005	-0.738	-0.037	-0.000
6.712	0.600	2.601	-2.796	0.000	-0.805	-0.040	0.000
6.762	0.600	2.601	-2.836	0.000	-0.805	-0.040	0.000
6.812	0.600	2.601	-2.877	0.000	-0.805	-0.040	0.000
6.863	0.600	2.601	-2.917	0.000	-0.805	-0.040	0.000
6.913	0.600	2.601	-2.951	0.000	-0.671	-0.034	0.000
6.963	0.600	2.601	-2.991	0.000	-0.805	-0.040	0.000
7.013	0.600	2.601	-3.032	0.000	-0.805	-0.040	0.000
7.063	0.600	2.601	-3.069	0.005	-0.738	-0.037	0.000
7.114	0.600	2.601	-3.109	0.000	-0.805	-0.040	0.000
7.164	0.600	2.601	3.137	-0.005	-0.738	-0.037	-0.000
7.214	0.597	2.601	3.120	0.061	-0.335	-0.017	0.003
7.264	0.591	2.601	3.130	0.127	0.201	0.010	0.006
7.314	0.583	2.601	-3.139	0.160	0.268	0.013	0.008
7.364	0.574	2.601	-3.126	0.169	0.269	0.013	0.008
7.415	0.566	2.601	-3.106	0.160	0.403	0.020	0.008
7.465	0.558	2.600	-3.085	0.160	0.403	0.020	0.008
7.515	0.551	2.600	-3.065	0.150	0.403	0.020	0.008
7.565	0.543	2.599	-3.048	0.155	0.336	0.017	0.008
7.615	0.535	2.598	-3.025	0.155	0.470	0.024	0.008
7.665	0.527	2.597	-3.005	0.160	0.403	0.020	0.008
7.715	0.520	2.596	-2.985	0.150	0.403	0.020	0.008
7.765	0.512	2.595	-2.964	0.150	0.403	0.020	0.008
7.815	0.505	2.594	-2.947	0.155	0.336	0.017	0.008
7.866	0.497	2.592	-2.931	0.155	0.336	0.017	0.008
7.916	0.489	2.590	-2.907	0.155	0.470	0.024	0.008
7.966	0.482	2.589	-2.884	0.155	0.470	0.024	0.008
8.016	0.475	2.587	-2.870	0.150	0.269	0.013	0.008
8.066	0.467	2.584	-2.847	0.155	0.470	0.024	0.008
8.116	0.460	2.582	-2.826	0.160	0.403	0.020	0.008
8.166	0.452	2.579	-2.806	0.160	0.402	0.020	0.008
8.217	0.445	2.577	-2.789	0.155	0.335	0.017	0.008
8.267	0.437	2.574	-2.772	0.155	0.335	0.017	0.008
8.317	0.430	2.571	-2.752	0.160	0.403	0.020	0.008
8.367	0.422	2.568	-2.732	0.160	0.403	0.020	0.008
8.418	0.415	2.564	-2.712	0.165	0.394	0.020	0.008
8.469	0.408	2.561	-2.692	0.150	0.401	0.020	0.008
8.519	0.401	2.558	-2.678	0.150	0.268	0.013	0.008
8.569	0.394	2.554	-2.655	0.154	0.468	0.024	0.008
8.620	0.388	2.551	-2.638	0.146	0.336	0.017	0.007
8.670	0.381	2.547	-2.618	0.160	0.403	0.020	0.008
8.720	0.374	2.543	-2.597	0.150	0.403	0.020	0.008
8.770	0.368	2.539	-2.581	0.155	0.336	0.017	0.008
8.820	0.361	2.535	-2.560	0.160	0.403	0.020	0.008
8.870	0.355	2.530	-2.544	0.155	0.336	0.017	0.008
8.920	0.348	2.526	-2.523	0.160	0.403	0.020	0.008
8.971	0.342	2.521	-2.503	0.150	0.403	0.020	0.008
9.021	0.336	2.517	-2.480	0.155	0.470	0.024	0.008
9.071	0.329	2.512	-2.459	0.160	0.403	0.020	0.008
9.121	0.323	2.507	-2.439	0.160	0.403	0.020	0.008
9.171	0.318	2.502	-2.419	0.150	0.403	0.020	0.008
9.221	0.312	2.496	-2.402	0.155	0.336	0.017	0.008
9.271	0.306	2.491	-2.379	0.155	0.470	0.024	0.008
9.322	0.301	2.486	-2.355	0.155	0.470	0.024	0.008
9.372	0.295	2.481	-2.338	0.146	0.336	0.017	0.007
9.422	0.290	2.475	-2.315	0.155	0.468	0.024	0.008
9.472	0.285	2.469	-2.298	0.164	0.336	0.017	0.008
9.522	0.279	2.463	-2.281	0.155	0.336	0.017	0.008
9.574	0.274	2.457	-2.261	0.155	0.391	0.020	0.008
9.624	0.269	2.451	-2.244	0.155	0.336	0.017	0.008
9.674	0.265	2.445	-2.231	0.150	0.268	0.013	0.008
9.725	0.260	2.438	-2.210	0.160	0.403	0.020	0.008
9.775	0.255	2.432	-2.190	0.160	0.403	0.020	0.008
9.825	0.251	2.425	-2.177	0.160	0.268	0.013	0.008
9.875	0.246	2.419	-2.156	0.160	0.403	0.020	0.008
9.925	0.242	2.412	-2.136	0.150	0.403	0.020	0.008
9.975	0.238	2.406	-2.113	0.155	0.470	0.024	0.008
10.025	0.234	2.399	-2.093	0.160	0.403	0.020	0.008
10.076	0.230	2.392	-2.072	0.150	0.403	0.020	0.008
10.126	0.226	2.385	-2.052	0.160	0.403	0.020	0.008
10.176	0.223	2.378	-2.035	0.155	0.336	0.017	0.008
10.226	0.219	2.371	-2.018	0.155	0.336	0.017	0.008
10.276	0.216	2.364	-1.995	0.155	0.470	0.024	0.008
10.326	0.213	2.357	-1.975	0.150	0.402	0.020	0.008
10.378	0.210	2.350	-1.951	0.161	0.459	0.024	0.008
10.428	0.207	2.343	-1.934	0.155	0.335	0.017	0.008
10.478	0.204	2.335	-1.917	0.155	0.335	0.017	0.008
10.528	0.202	2.328	-1.897	0.150	0.402	0.020	0.008
10.578	0.199	2.321	-1.877	0.150	0.403	0.020	0.008
10.629	0.197	2.314	-1.857	0.150	0.403	0.020	0.008
10.679	0.195	2.306	-1.833	0.155	0.470	0.024	0.008
10.729	0.193	2.299	-1.817	0.155	0.336	0.017	0.008
10.779	0.191	2.291	-1.800	0.155	0.336	0.017	0.008
10.829	0.190	2.283	-1.779	0.160	0.403	0.020	0.008
10.879	0.188	2.275	-1.763	0.165	0.336	0.017	0.008
10.929	0.187	2.268	-1.739	0.155	0.470	0.024	0.008
10.980	0.185	2.260	-1.722	0.155	0.336	0.017	0.008
11.030	0.184	2.252	-1.705	0.155	0.336	0.017	0.008
11.080	0.183	2.244	-1.685	0.160	0.403	0.020	0.008
11.130	0.182	2.236	-1.665	0.160	0.403	0.020	0.008
11.180	0.182	2.229	-1.648	0.155	0.336	0.017	0.008
11.230	0.181	2.221	-1.628	0.160	0.403	0.020	0.008
11.280	0.181	2.213	-1.608	0.150	0.403	0.020	0.008
