t	x	y	th	v*100	w	dTh	dSi
0.22	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00
0.42	0.00	0.00	0.01	0.00	0.13	0.01	0.00
0.47	0.00	0.00	0.02	0.47	0.34	0.02	0.00
0.52	0.00	-0.00	0.04	-0.47	0.34	0.02	-0.00
0.57	0.00	0.00	0.06	0.47	0.47	0.02	0.00
0.62	0.00	0.00	0.09	0.00	0.54	0.03	0.00
0.67	0.00	0.00	0.11	0.47	0.47	0.02	0.00
0.72	0.00	0.00	0.14	-0.46	0.59	0.03	-0.00
0.77	0.00	0.00	0.17	0.47	0.47	0.02	0.00
0.82	0.00	-0.00	0.19	-0.47	0.47	0.02	-0.00
0.87	0.00	-0.00	0.22	0.00	0.54	0.03	0.00
0.93	0.00	-0.00	0.25	0.00	0.54	0.03	0.00
0.98	0.00	-0.00	0.27	0.00	0.54	0.03	0.00
1.03	0.00	-0.00	0.29	0.00	0.40	0.02	0.00
1.08	0.00	-0.00	0.32	0.00	0.54	0.03	0.00
1.13	0.00	-0.00	0.35	0.00	0.54	0.03	0.00
1.18	0.00	-0.00	0.37	0.00	0.54	0.03	0.00
1.23	0.00	0.00	0.40	0.47	0.47	0.02	0.00
1.28	0.00	0.00	0.42	0.00	0.54	0.03	0.00
1.33	0.00	0.00	0.45	0.00	0.54	0.03	0.00
1.38	0.00	0.00	0.48	0.00	0.54	0.03	0.00
1.43	0.00	0.00	0.50	0.00	0.54	0.03	0.00
1.48	0.00	0.00	0.53	0.00	0.54	0.03	0.00
1.53	0.00	-0.00	0.56	-0.47	0.47	0.02	-0.00
1.58	0.00	-0.00	0.58	0.00	0.40	0.02	0.00
1.63	0.00	-0.00	0.60	0.00	0.54	0.03	0.00
1.68	0.00	-0.00	0.63	0.00	0.54	0.03	0.00
1.73	0.00	-0.00	0.66	0.00	0.54	0.03	0.00
1.78	0.00	0.00	0.68	0.47	0.47	0.02	0.00
1.83	0.00	0.00	0.71	0.00	0.54	0.03	0.00
1.88	0.00	-0.00	0.73	-0.47	0.47	0.02	-0.00
1.93	0.00	-0.00	0.76	0.00	0.54	0.03	0.00
